season,team,conference,offense_passingPlays_explosiveness,offense_passingPlays_successRate,offense_passingPlays_totalPPA,offense_passingPlays_ppa,offense_passingPlays_rate,offense_rushingPlays_explosiveness,offense_rushingPlays_successRate,offense_rushingPlays_totalPPA,offense_rushingPlays_ppa,offense_rushingPlays_rate,offense_passingDowns_explosiveness,offense_passingDowns_successRate,offense_passingDowns_ppa,offense_passingDowns_rate,offense_standardDowns_explosiveness,offense_standardDowns_successRate,offense_standardDowns_ppa,offense_standardDowns_rate,offense_havoc_db,offense_havoc_frontSeven,offense_havoc_total,offense_fieldPosition_averagePredictedPoints,offense_fieldPosition_averageStart,offense_pointsPerOpportunity,offense_totalOpportunies,offense_openFieldYardsTotal,offense_openFieldYards,offense_secondLevelYardsTotal,offense_secondLevelYards,offense_lineYardsTotal,offense_lineYards,offense_stuffRate,offense_powerSuccess,offense_explosiveness,offense_successRate,offense_totalPPA,offense_ppa,offense_drives,offense_plays,defense_passingPlays_explosiveness,defense_passingPlays_successRate,defense_passingPlays_totalPPA,defense_passingPlays_ppa,defense_passingPlays_rate,defense_rushingPlays_explosiveness,defense_rushingPlays_successRate,defense_rushingPlays_totalPPA,defense_rushingPlays_ppa,defense_rushingPlays_rate,defense_passingDowns_explosiveness,defense_passingDowns_successRate,defense_passingDowns_totalPPA,defense_passingDowns_ppa,defense_passingDowns_rate,defense_standardDowns_explosiveness,defense_standardDowns_successRate,defense_standardDowns_ppa,defense_standardDowns_rate,defense_havoc_db,defense_havoc_frontSeven,defense_havoc_total,defense_fieldPosition_averagePredictedPoints,defense_fieldPosition_averageStart,defense_pointsPerOpportunity,defense_totalOpportunies,defense_openFieldYardsTotal,defense_openFieldYards,defense_secondLevelYardsTotal,defense_secondLevelYards,defense_lineYardsTotal,defense_lineYards,defense_stuffRate,defense_powerSuccess,defense_explosiveness,defense_successRate,defense_totalPPA,defense_ppa,defense_drives,defense_plays
2025,Air Force,Mountain West,2.1339353422617204,0.47093023255813954,93.77586349583213,0.5452085086966985,0.20899149453219928,0.9488883936121759,0.48205928237129486,146.50035004385626,0.228549688055938,0.778857837181045,2.0499775182066546,0.32323232323232326,0.3813883679106618,0.24058323207776428,1.0357838872062495,0.5248,0.25701296078457664,0.7594167679222357,0.024,0.066,0.09,1.24,71.8,4.597222222222222,72,603,0.9407176287051482,665,1.0374414976599065,2097,3.2709828393135725,0.11856474258970359,0.788235294117647,1.2013665208389686,0.47630619684082626,236.14799733667144,0.286935598221958,117,823,1.4647699209453076,0.5358166189111748,177.67094565063843,0.5090858041565571,0.49573863636363635,1.2026404587542565,0.45348837209302323,100.63017502175786,0.2925295785516217,0.48863636363636365,2.237736778119677,0.4030612244897959,177.67094565063843,0.7193821288935704,0.2784090909090909,1.1110343145030757,0.5295275590551181,0.27905256282365065,0.7215909090909091,0.044,0.063,0.107,-1.286,71.5,4.27536231884058,69,0,1.5581395348837208,411,1.194767441860465,1125,3.270058139534884,0.13953488372093023,0.7551020408163265,1.3668087243470741,0.4943181818181818,282.7575991775543,0.4016443170135715,118,704
2025,Akron,Mid-American,1.571895582607505,0.37850467289719625,72.03343420963373,0.1683024163776489,0.5047169811320755,0.7808170234058902,0.4225,4.753528371549288,0.01188382092887322,0.4716981132075472,1.9220479250102132,0.2762237762237762,0.15447875394917046,0.33726415094339623,0.9517066101753686,0.4555160142348754,0.02725666585309287,0.6627358490566038,0.077,0.102,0.179,1.37,70.6,3.2533333333333334,75,343,0.8575,446,1.115,1136,2.83875,0.2,0.7,1.180533368002093,0.39504716981132076,59.49916983890095,0.07016411537606243,155,848,1.6752433222687269,0.3850267379679144,85.38475713846981,0.22830148967505295,0.47281921618204803,1.013908915386198,0.4268292682926829,40.06095279327433,0.09770964095920569,0.5183312262958281,2.2391175453445795,0.2643171806167401,85.38475713846981,0.2728483384225946,0.28697850821744625,1.0977685169058167,0.4592198581560284,0.0944516165488795,0.7130214917825537,0.063,0.11,0.173,-1.542,68.3,3.684931506849315,73,0,1.4804878048780488,441,1.075609756097561,1192,2.90609756097561,0.2097560975609756,0.5967741935483871,1.3124423153582485,0.40328697850821743,115.20728455549701,0.14564764166308092,152,791
2025,Alabama,SEC,1.5685825238211195,0.4573502722323049,191.9551454300386,0.34837594451912635,0.5504495504495505,0.846773584504537,0.408675799086758,21.468213759156967,0.04901418666474193,0.43756243756243757,2.102769120042069,0.3310810810810811,0.424003445890901,0.2957042957042957,1.0284026463769493,0.475177304964539,0.11704484807418376,0.7042957042957043,0.053,0.082,0.135,1.415,69.7,4.042105263157895,95,290,0.6621004566210046,382,0.8721461187214612,1229,2.8059360730593608,0.1917808219178082,0.6774193548387096,1.2715618020794475,0.4325674325674326,208.02163787600625,0.2078138240519543,160,1001,1.5296629960071748,0.3794749403341289,51.05359659071221,0.12184629257926542,0.4544468546637744,1.005965167973173,0.378099173553719,32.56266916812994,0.06727824208291311,0.5249457700650759,2.011020756338081,0.2724458204334365,51.05359659071221,0.2249210939756243,0.35032537960954446,0.9820966389468422,0.4290484140233723,-0.011794732555584456,0.6496746203904555,0.064,0.113,0.177,-1.305,71.1,3.6521739130434785,69,0,1.1136363636363635,460,0.9504132231404959,1320,2.728099173553719,0.19834710743801653,0.75,1.2445468486002595,0.37418655097613884,65.58446855333156,0.07113282923354833,167,922
2025,App State,Sun Belt,1.5369248044964423,0.39579349904397704,92.94389188354751,0.17771298639301628,0.5623655913978495,0.7784335941151389,0.4318766066838046,27.590046083721113,0.07092556833861469,0.4182795698924731,1.867728676188728,0.30844155844155846,0.2704204573292141,0.3311827956989247,0.9693486911348758,0.45819935691318325,0.01165609432050271,0.6688172043010753,0.089,0.078,0.167,1.246,72.0,3.5,84,401,1.0308483290488433,408,1.0488431876606683,1159,2.9789203084832905,0.16709511568123395,0.7,1.193943687398339,0.40860215053763443,90.53959152475062,0.09735439948897917,154,930,1.4845097574719224,0.4530612244897959,144.9575694225091,0.2958317743316512,0.5168776371308017,0.8583330961101707,0.4527027027027027,40.87047441026264,0.09205061804113207,0.46835443037974683,2.0810030152912495,0.3311036789297659,144.9575694225091,0.3791679690703513,0.3154008438818565,0.921000940124718,0.50231124807396,0.08862926114449453,0.6845991561181435,0.068,0.097,0.165,-1.44,69.5,4.2439024390243905,82,0,1.105855855855856,462,1.0405405405405406,1275,2.8704954954954953,0.18018018018018017,0.703125,1.1912131882223336,0.44831223628691985,170.89161323481198,0.180265414804654,156,948
2025,Arizona,Big 12,1.4785051160738867,0.42735042735042733,95.68569691726543,0.20445661734458426,0.5176991150442478,1.03194850311795,0.42657342657342656,60.25249070132648,0.1404486962734883,0.4745575221238938,2.1115885161424024,0.2974910394265233,0.33553537090260926,0.3086283185840708,1.028931125344321,0.4832,0.0919725197533644,0.6913716814159292,0.058,0.089,0.147,1.648,66.3,3.6091954022988504,87,582,1.3566433566433567,520,1.2121212121212122,1337,3.116783216783217,0.1888111888111888,0.75,1.2623351862176737,0.4258849557522124,151.09719332768074,0.16714291297309816,154,904,1.6156878009235855,0.33080808080808083,45.61729845982686,0.1151951981308759,0.45569620253164556,0.9012132224166585,0.437219730941704,45.26510595026177,0.10149126894677526,0.5132336018411968,2.0991716683359956,0.2596491228070175,45.61729845982686,0.2237883439526864,0.32796317606444186,0.9322203039324204,0.4366438356164384,-0.005824930954362251,0.6720368239355581,0.094,0.108,0.202,-1.167,72.9,3.3833333333333333,60,0,0.8071748878923767,421,0.9439461883408071,1275,2.8591928251121077,0.18385650224215247,0.7049180327868853,1.1946956868073886,0.378596087456847,60.37791834916807,0.06947976795071124,154,869
2025,Arizona State,Big 12,1.6010074906605434,0.3844444444444444,99.7390855108252,0.22164241224627823,0.4751847940865892,0.9864299686391554,0.42857142857142855,56.83805305174941,0.11940767447846516,0.5026399155227033,1.941493592073545,0.284789644012945,0.2838845924629436,0.3262935586061246,1.0635106345473693,0.45297805642633227,0.05818998658412302,0.6737064413938754,0.07,0.099,0.168,1.255,72.3,3.3734939759036147,83,863,1.8130252100840336,597,1.254201680672269,1372,2.882983193277311,0.1953781512605042,0.631578947368421,1.2684509535455217,0.39809926082365366,124.84555051172008,0.13183268269453016,162,947,1.4697894253583008,0.3975409836065574,79.15201566119752,0.16219675340409329,0.5339168490153173,0.9374926108477162,0.4196642685851319,15.872895336854414,0.03806449721068205,0.4562363238512035,2.1063789358111467,0.2793103448275862,79.15201566119752,0.20999456484193743,0.3172866520787746,0.9744682415544165,0.46794871794871795,0.05266562508076553,0.6827133479212254,0.081,0.106,0.188,-1.572,67.8,3.458823529411765,85,0,1.0431654676258992,383,0.9184652278177458,1149,2.7553956834532376,0.21103117505995203,0.6944444444444444,1.2202719043822856,0.40809628008752735,93.76177385455955,0.10258399765269097,161,914
2025,Arkansas,SEC,1.6445549969877127,0.455,149.07640833650157,0.37269102084125394,0.5069708491761724,1.065916137092875,0.5249343832020997,106.00091320171413,0.2782176199520056,0.4828897338403042,2.3023053496806547,0.3760330578512397,0.5176987463639049,0.30671736375158426,1.0332207029772926,0.5356489945155393,0.206868816844998,0.6932826362484157,0.072,0.097,0.169,1.198,72.6,4.2,80,905,2.3753280839895012,582,1.5275590551181102,1288,3.38005249343832,0.1994750656167979,0.6607142857142857,1.3339673249825164,0.4866920152091255,238.4403394342789,0.3022057534021279,131,789,1.7276295223155422,0.4475920679886686,153.3918054623117,0.4345376925277952,0.4304878048780488,0.958417296695746,0.48123620309050774,74.85260521169809,0.16523753909867128,0.552439024390244,2.1430363749814267,0.359375,153.3918054623117,0.4575705051886798,0.3121951219512195,1.002558561952282,0.5053191489361702,0.15245202577469294,0.6878048780487804,0.063,0.09,0.154,-1.274,71.5,4.2125,80,0,1.4525386313465785,562,1.240618101545254,1328,2.9322295805739516,0.20088300220750552,0.6724137931034483,1.2808714500124447,0.45975609756097563,203.12099186522886,0.24770852666491325,134,820
2025,Arkansas State,Sun Belt,1.412561703363055,0.44095940959409596,124.4830207689363,0.229673470053388,0.5524974515800204,0.7933449067111341,0.39436619718309857,-15.162746551943428,-0.035593301765125415,0.43425076452599387,2.127079741375332,0.2876712328767123,0.28103043379148,0.2976554536187564,0.9041526624882469,0.4746008708272859,0.009311054139810267,0.7023445463812437,0.078,0.1,0.178,1.435,69.6,3.3068181818181817,88,330,0.7746478873239436,382,0.8967136150234741,1096,2.573239436619718,0.2136150234741784,0.6825396825396826,1.1540939632826877,0.41896024464831805,88.47620296944143,0.0901898093470351,157,981,1.572259002209902,0.4413145539906103,132.1885996564079,0.31030187712771806,0.46864686468646866,1.0173092542374251,0.4337606837606838,55.6207284023717,0.11884771026147799,0.5148514851485149,2.1704687361641866,0.32,132.1885996564079,0.4101427137584264,0.3025302530253025,1.0429276252032398,0.48580441640378547,0.09798796619363301,0.6974697469746974,0.049,0.106,0.155,-1.262,72.2,3.9,80,0,1.4166666666666667,527,1.126068376068376,1286,2.7472222222222222,0.19444444444444445,0.6862745098039216,1.2934923165278946,0.43564356435643564,174.91361685033058,0.1924242209574594,159,909
2025,Army,American Athletic,2.4143647193309725,0.3779527559055118,58.33306862140858,0.45931550095597307,0.14614499424626007,0.9461124811237499,0.42954856361149113,104.86887630304768,0.14345947510676837,0.8411967779056386,1.7147623142322006,0.2863247863247863,0.2276687917653162,0.26927502876869963,1.0160950755161147,0.47244094488188976,0.16971060051631828,0.7307249712313003,0.013,0.07,0.083,1.417,69.7,3.7,70,615,0.841313269493844,570,0.7797537619699042,2223,3.0404924760601917,0.13132694938440492,0.780952380952381,1.1436446804043374,0.4223245109321059,161.0407286009461,0.185317294132274,123,869,1.442032432731797,0.4598337950138504,108.03589211482542,0.2992683992100427,0.4535175879396985,0.8371972351036948,0.4489311163895487,39.778420592390574,0.09448555960187785,0.5288944723618091,1.9120399988381775,0.2894736842105263,108.03589211482542,0.23412259712661138,0.2864321608040201,0.9369220074838239,0.5123239436619719,0.1512754743058706,0.7135678391959799,0.052,0.075,0.127,-1.417,69.8,3.764705882352941,68,0,0.9406175771971497,450,1.0688836104513064,1325,3.1470308788598573,0.16152019002375298,0.7169811320754716,1.1171959218518557,0.4484924623115578,139.3044215506019,0.17500555471181142,120,796
2025,Auburn,SEC,1.30784270382185,0.40759493670886077,55.27534309720988,0.13993757746129082,0.47762998790810157,1.0187821775878596,0.47129186602870815,99.72929837842157,0.23858683822588894,0.5054413542926239,1.96205257988509,0.2734375,0.2122982008838963,0.309552599758162,0.9587200243403311,0.5078809106830122,0.1549563944231502,0.6904474002418379,0.056,0.112,0.168,1.189,73.2,3.903225806451613,62,650,1.555023923444976,527,1.2607655502392343,1307,3.1270334928229664,0.16267942583732056,0.8,1.1538124656962565,0.43530834340991537,142.82844064189624,0.17270669968790353,135,827,1.5814848211271055,0.42892156862745096,106.89989066668902,0.2620095359477672,0.504950495049505,0.8855539440180515,0.32051282051282054,-43.8838025310211,-0.11252257059236179,0.48267326732673266,1.9751252527628094,0.29850746268656714,106.89989066668902,0.2741742683329347,0.3316831683168317,1.041833850707189,0.4111111111111111,-0.046412500927255164,0.6683168316831684,0.054,0.112,0.166,-1.267,71.3,3.373134328358209,67,0,0.6461538461538462,301,0.7717948717948718,868,2.2258974358974357,0.26666666666666666,0.7,1.289063361185499,0.37376237623762376,48.4159534125087,0.05992073442142166,137,808
