season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2025,Air Force,Mountain West,264,247,24,10,34,16,5,3,3,5,12,0,0,67,55,7,7,0,0,190,352,9,22,1742,3176,164,336,97,234,7,7,13,17,43,65,375,536,24388,18812,0,0,8,51,3,8,653,361,33,27,3138,1915,15,16,40,46,78,69,153,137,4880,5091,12,10
2025,Akron,Mid-American,241,234,12,7,25,19,8,8,8,8,12,1,0,112,116,9,12,0,2,721,543,35,31,2628,2750,404,355,209,214,12,9,20,20,70,71,549,668,21504,21696,0,0,47,239,10,23,430,432,9,18,1637,1874,25,34,70,72,52,54,169,154,4265,4624,17,20
2025,Alabama,SEC,305,240,22,16,36,23,8,9,9,8,15,3,1,222,136,5,11,0,1,341,380,20,22,3953,2554,523,396,343,246,11,5,32,16,67,85,591,787,28422,25578,0,0,232,138,25,13,465,508,21,17,1563,1904,33,33,86,69,85,75,204,201,5516,4458,13,20
2025,App State,Sun Belt,274,296,20,11,32,20,7,6,6,7,13,0,3,99,174,15,13,0,0,552,288,29,15,3335,3478,508,467,299,296,13,15,23,22,88,67,816,645,22062,24731,1,0,197,128,18,18,410,469,12,23,1669,1944,29,28,75,59,61,78,186,184,5004,5422,22,19
2025,Arizona,Big 12,290,214,20,19,32,33,5,9,9,5,13,2,1,246,145,8,22,0,0,223,108,11,5,3318,2149,447,385,281,208,22,8,29,9,73,69,679,661,24143,22657,0,0,202,88,20,10,460,471,20,19,1985,1866,21,30,81,69,73,63,178,185,5303,4015,13,31
2025,Arizona State,Big 12,274,253,21,19,36,37,12,7,7,12,13,0,0,16,29,9,8,0,0,277,468,16,24,2908,3035,430,459,251,277,8,9,20,20,93,73,751,701,24611,22189,0,0,132,252,14,17,494,444,18,20,2508,1617,34,27,86,74,61,69,187,192,5416,4652,21,15
2025,Arkansas,SEC,279,285,9,11,17,16,9,3,3,9,12,1,1,160,111,11,6,0,1,269,350,12,14,3155,2871,381,339,231,213,6,11,22,22,93,73,804,607,20898,22302,1,1,138,105,19,7,403,471,25,24,2306,2246,22,29,65,62,67,67,142,151,5461,5117,20,9
2025,Arkansas State,Sun Belt,288,271,15,8,25,15,11,9,10,11,13,1,0,71,105,12,7,2,0,706,471,33,25,3377,3176,508,391,334,267,7,12,20,21,82,117,752,1014,23029,23771,0,0,170,67,25,11,448,492,14,24,1606,2233,39,28,81,79,77,75,196,180,4983,5409,23,16
2025,Army,American Athletic,244,242,39,21,56,36,6,8,8,6,13,1,0,104,70,5,8,0,1,82,622,7,30,1051,2475,126,359,68,228,8,5,6,15,34,63,285,488,26986,19814,0,0,83,35,10,8,747,442,31,18,3315,1991,14,7,44,48,77,74,187,165,4366,4466,11,16
2025,Auburn,SEC,249,230,12,15,23,22,4,6,6,4,12,2,1,250,125,4,11,1,0,459,264,22,12,2365,2758,362,381,221,238,11,4,11,15,93,69,764,630,21190,22010,0,0,60,48,16,8,453,413,23,12,2123,1195,31,42,79,76,65,60,166,171,4488,3953,8,17
2025,BYU,Big 12,306,251,18,18,31,39,9,7,7,9,14,3,0,251,49,7,17,0,0,465,267,20,16,3096,2936,403,452,257,260,17,7,15,17,75,85,635,631,27476,22924,1,0,303,105,26,8,528,457,33,13,2508,1721,30,15,74,58,75,63,181,190,5604,4657,16,24
2025,Ball State,Mid-American,176,250,9,13,17,27,8,4,4,8,12,0,0,48,60,8,9,1,0,584,513,29,28,1656,2722,277,354,156,219,9,8,11,23,56,75,466,673,21409,21791,0,1,25,222,12,23,453,448,11,21,1604,2156,22,49,55,100,58,67,173,160,3260,4878,16,13
2025,Baylor,Big 12,297,267,26,12,49,19,12,2,2,12,12,1,2,108,176,12,9,0,1,767,512,34,25,3715,2334,510,344,309,214,9,12,31,17,72,75,737,771,21064,22136,0,0,141,32,18,12,409,480,12,30,1699,2368,12,22,48,62,65,65,172,159,5414,4702,24,11
2025,Boise State,Mountain West,310,233,19,9,37,23,7,9,9,7,14,3,0,209,125,14,14,0,1,498,331,26,13,3428,2457,472,399,274,217,14,14,23,17,97,109,832,914,27588,22794,0,0,75,89,13,12,550,467,29,25,2512,2273,28,26,84,67,99,62,216,184,5940,4730,21,23
2025,Boston College,ACC,250,251,16,11,31,19,9,6,6,9,12,1,1,76,91,12,6,0,0,376,495,20,24,3362,3068,454,374,287,240,6,12,20,23,71,81,596,730,21072,22128,0,0,137,39,14,13,376,419,16,25,1248,2144,16,36,46,73,64,63,164,154,4610,5212,21,12
2025,Bowling Green,Mid-American,199,212,8,8,19,20,2,10,10,2,12,0,1,4,194,12,6,1,0,817,495,32,27,1815,2420,286,321,166,189,6,12,13,15,80,72,732,605,22545,20655,0,2,109,195,19,11,472,406,13,17,1866,1690,22,29,74,68,62,50,169,147,3681,4110,14,16
2025,Buffalo,Mid-American,233,222,10,16,25,27,8,8,9,8,12,0,1,151,103,14,7,0,0,495,390,24,19,2748,2237,411,344,235,191,7,14,19,17,65,59,548,435,20205,22995,1,0,229,107,22,19,413,498,15,16,1598,1893,34,23,73,67,63,66,176,192,4346,4130,22,15
2025,California,ACC,259,255,12,12,23,19,6,5,6,6,13,0,2,107,187,10,8,0,0,364,712,20,37,3579,2670,505,420,322,259,8,10,20,14,101,96,840,817,23582,23218,0,0,259,129,24,19,385,427,21,24,1073,2035,20,31,60,70,72,75,178,180,4652,4705,16,13
2025,Central Michigan,Mid-American,220,253,15,10,26,28,9,8,8,9,13,2,0,150,45,7,13,0,0,336,673,18,34,2172,2722,253,408,176,238,13,7,16,18,78,79,633,702,25038,21724,0,1,69,123,9,11,538,439,17,18,2146,1912,29,24,69,75,56,73,164,180,4318,4634,16,21
2025,Charlotte,American Athletic,187,310,11,15,24,26,10,8,8,10,12,0,2,104,239,13,7,1,0,548,158,22,9,2448,3260,379,402,225,274,7,13,14,24,73,51,610,550,20240,22960,0,0,104,187,10,21,363,483,5,30,982,2404,14,27,48,72,59,68,171,156,3430,5664,23,15
2025,Cincinnati,Big 12,255,294,18,24,25,37,8,8,8,8,13,1,1,116,40,6,2,0,0,242,309,11,18,2992,2865,363,389,224,260,2,6,29,20,92,65,846,499,18939,27861,0,1,156,111,16,10,401,537,21,19,2307,2323,22,8,55,40,55,77,142,188,5299,5188,14,10
2025,Clemson,ACC,273,247,20,12,36,29,8,8,8,8,13,1,1,64,94,7,9,0,1,266,316,14,11,3481,3270,474,484,309,294,9,7,22,18,57,78,547,705,24200,22716,0,0,134,20,20,11,410,386,20,10,1618,1374,34,21,85,65,60,58,175,181,5099,4642,15,17
2025,Coastal Carolina,Sun Belt,225,281,10,12,19,30,9,11,8,10,13,0,2,87,155,13,12,1,1,543,471,23,20,2204,3061,399,415,218,259,12,13,16,25,89,95,744,820,21887,24913,1,1,147,372,22,29,471,527,15,23,2032,2728,19,23,70,76,62,71,188,184,4236,5789,22,23
2025,Colorado,Big 12,208,260,7,19,21,31,6,9,10,6,12,0,0,50,183,11,6,0,0,686,139,30,7,2433,2438,356,323,210,179,6,11,17,18,68,72,599,680,20755,22445,0,0,79,247,11,25,424,505,15,25,1520,2681,14,39,60,97,68,56,177,159,3953,5119,17,15
2025,Colorado State,Mountain West,220,256,14,13,30,19,8,8,8,8,12,0,0,69,127,12,8,0,0,319,272,17,12,2591,2653,394,325,243,205,8,12,15,18,70,80,675,712,19324,23876,1,0,212,110,15,19,363,490,13,30,1299,2460,16,32,46,74,52,73,158,157,3890,5113,20,16
2025,Delaware,Conference USA,296,273,19,18,36,26,11,5,5,12,13,1,2,94,82,8,14,0,0,693,326,30,17,3790,3192,541,427,337,265,14,8,24,21,69,85,649,830,23638,23162,1,0,94,109,6,18,408,451,20,25,1550,2081,26,27,80,74,79,73,190,183,5340,5273,19,19
2025,Duke,ACC,315,314,32,15,43,29,8,10,10,8,14,1,0,167,16,6,14,1,0,652,373,22,20,3995,3870,506,462,336,310,14,6,34,21,90,90,878,842,24969,25431,1,0,116,45,10,12,454,482,26,29,1935,2062,26,27,94,75,71,83,182,183,5930,5932,14,24
2025,East Carolina,American Athletic,303,250,15,17,32,38,8,14,14,8,13,1,2,215,68,6,10,0,0,281,699,16,35,3545,3000,440,454,285,288,10,6,22,16,94,74,799,640,22095,24705,0,0,83,101,13,9,559,435,31,11,2292,1563,30,19,101,69,94,57,199,187,5837,4563,14,24
2025,Eastern Michigan,Mid-American,243,246,11,11,18,19,3,2,2,3,12,0,1,42,114,11,7,0,0,493,508,26,23,2817,2200,404,294,247,178,7,11,18,16,68,74,586,681,20205,22957,0,0,55,172,6,18,389,501,16,29,1713,2770,13,11,49,46,71,76,173,164,4530,4970,14,9
2025,Florida,SEC,228,233,8,13,19,20,4,7,7,4,12,0,1,110,217,14,10,0,0,209,170,15,9,2455,2675,374,334,234,214,10,14,18,13,61,74,524,593,21441,21759,0,0,146,49,13,7,384,458,10,21,1641,1858,25,20,60,61,52,74,151,169,4096,4533,18,17
